sample.id	replicate	project	Species_coral	Genotype	Timepoint	Group	Treatment	Trt_time	T0_merge	Description	species_time	species_time_wT0	trt	TR	TR2	project_trt_time	days_from_start
AP16-20-T3-C	20	Lugol	APAL	AP16	T3	APAL Control	Control	Control_T3	Control_T3	1 Month Washout	APAL_Control_T3	APAL_Control_T3	Control	None	None	Lugol_Control_T3	40
AP16-21-T4-C	21	Lugol	APAL	AP16	T4	APAL Control	Control	Control_T4	Control_T4	2 Months Washout	APAL_Control_T4	APAL_Control_T4	Control	mild	TR	Lugol_Control_T4	68
AP16-22-T4-C	22	Lugol	APAL	AP16	T4	APAL Control	Control	Control_T4	Control_T4	2 Months Washout	APAL_Control_T4	APAL_Control_T4	Control	TR	TR	Lugol_Control_T4	68
AP16-23-T4-C	23	Lugol	APAL	AP16	T4	APAL Control	Control	Control_T4	Control_T4	2 Months Washout	APAL_Control_T4	APAL_Control_T4	Control	TR	TR	Lugol_Control_T4	68
AP16-24-T4-C	24	Lugol	APAL	AP16	T4	APAL Control	Control	Control_T4	Control_T4	2 Months Washout	APAL_Control_T4	APAL_Control_T4	Control	TR	TR	Lugol_Control_T4	68
AP16-25-T4-C	25	Lugol	APAL	AP16	T4	APAL Control	Control	Control_T4	Control_T4	2 Months Washout	APAL_Control_T4	APAL_Control_T4	Control	TR	TR	Lugol_Control_T4	68
AP16-26-T0-L	26	Lugol	APAL	AP16	T0	APAL Lugol	Lugol	Lugol_T0	T0	Pre-Treatment	APAL_T0	APAL_Lugol_T0	Treated	None	None	Lugol_Lugol_T0	0
AP16-27-T0-L	27	Lugol	APAL	AP16	T0	APAL Lugol	Lugol	Lugol_T0	T0	Pre-Treatment	APAL_T0	APAL_Lugol_T0	Treated	None	None	Lugol_Lugol_T0	0
AP16-28-T0-L	28	Lugol	APAL	AP16	T0	APAL Lugol	Lugol	Lugol_T0	T0	Pre-Treatment	APAL_T0	APAL_Lugol_T0	Treated	None	None	Lugol_Lugol_T0	0
AP16-29-T0-L	29	Lugol	APAL	AP16	T0	APAL Lugol	Lugol	Lugol_T0	T0	Pre-Treatment	APAL_T0	APAL_Lugol_T0	Treated	None	None	Lugol_Lugol_T0	0
AP16-30-T0-L	30	Lugol	APAL	AP16	T0	APAL Lugol	Lugol	Lugol_T0	T0	Pre-Treatment	APAL_T0	APAL_Lugol_T0	Treated	None	None	Lugol_Lugol_T0	0
AP16-31-T1-L	31	Lugol	APAL	AP16	T1	APAL Lugol	Lugol	Lugol_T1	Lugol_T1	1 Day Post-Treatment	APAL_Lugol_T1	APAL_Lugol_T1	Treated	None	None	Lugol_Lugol_T1	1
AP16-32-T1-L	32	Lugol	APAL	AP16	T1	APAL Lugol	Lugol	Lugol_T1	Lugol_T1	1 Day Post-Treatment	APAL_Lugol_T1	APAL_Lugol_T1	Treated	None	None	Lugol_Lugol_T1	1
AP16-33-T1-L	33	Lugol	APAL	AP16	T1	APAL Lugol	Lugol	Lugol_T1	Lugol_T1	1 Day Post-Treatment	APAL_Lugol_T1	APAL_Lugol_T1	Treated	None	None	Lugol_Lugol_T1	1
AP16-34-T1-L	34	Lugol	APAL	AP16	T1	APAL Lugol	Lugol	Lugol_T1	Lugol_T1	1 Day Post-Treatment	APAL_Lugol_T1	APAL_Lugol_T1	Treated	None	None	Lugol_Lugol_T1	1
AP16-35-T1-L	35	Lugol	APAL	AP16	T1	APAL Lugol	Lugol	Lugol_T1	Lugol_T1	1 Day Post-Treatment	APAL_Lugol_T1	APAL_Lugol_T1	Treated	None	None	Lugol_Lugol_T1	1
AP16-36-T2-L	36	Lugol	APAL	AP16	T2	APAL Lugol	Lugol	Lugol_T2	Lugol_T2	After 6 treatments 	APAL_Lugol_T2	APAL_Lugol_T2	Treated	None	None	Lugol_Lugol_T2	12
AP16-37-T2-L	37	Lugol	APAL	AP16	T2	APAL Lugol	Lugol	Lugol_T2	Lugol_T2	After 6 treatments 	APAL_Lugol_T2	APAL_Lugol_T2	Treated	None	None	Lugol_Lugol_T2	12
AP16-38-T2-L	38	Lugol	APAL	AP16	T2	APAL Lugol	Lugol	Lugol_T2	Lugol_T2	After 6 treatments 	APAL_Lugol_T2	APAL_Lugol_T2	Treated	None	None	Lugol_Lugol_T2	12
AP16-39-T2-L	39	Lugol	APAL	AP16	T2	APAL Lugol	Lugol	Lugol_T2	Lugol_T2	After 6 treatments 	APAL_Lugol_T2	APAL_Lugol_T2	Treated	None	None	Lugol_Lugol_T2	12
AP16-40-T2-L	40	Lugol	APAL	AP16	T2	APAL Lugol	Lugol	Lugol_T2	Lugol_T2	After 6 treatments 	APAL_Lugol_T2	APAL_Lugol_T2	Treated	None	None	Lugol_Lugol_T2	12
AP16-41-T3-L	41	Lugol	APAL	AP16	T3	APAL Lugol	Lugol	Lugol_T3	Lugol_T3	1 Month Washout	APAL_Lugol_T3	APAL_Lugol_T3	Treated	None	None	Lugol_Lugol_T3	40
AP16-42-T3-L	42	Lugol	APAL	AP16	T3	APAL Lugol	Lugol	Lugol_T3	Lugol_T3	1 Month Washout	APAL_Lugol_T3	APAL_Lugol_T3	Treated	None	None	Lugol_Lugol_T3	40
AP16-43-T3-L	43	Lugol	APAL	AP16	T3	APAL Lugol	Lugol	Lugol_T3	Lugol_T3	1 Month Washout	APAL_Lugol_T3	APAL_Lugol_T3	Treated	None	None	Lugol_Lugol_T3	40
AP16-44-T3-L	44	Lugol	APAL	AP16	T3	APAL Lugol	Lugol	Lugol_T3	Lugol_T3	1 Month Washout	APAL_Lugol_T3	APAL_Lugol_T3	Treated	None	None	Lugol_Lugol_T3	40
AP16-45-T3-L	45	Lugol	APAL	AP16	T3	APAL Lugol	Lugol	Lugol_T3	Lugol_T3	1 Month Washout	APAL_Lugol_T3	APAL_Lugol_T3	Treated	None	None	Lugol_Lugol_T3	40
AP16-46-T4-L	46	Lugol	APAL	AP16	NA	APAL Lugol	Lugol	Lugol_T4	Lugol_T4	2 Months Washout	APAL_Lugol_T4	APAL_Lugol_T4	Treated	TR	TR	Lugol_Lugol_T4	68
AP16-47-T4-L	47	Lugol	APAL	AP16	NA	APAL Lugol	Lugol	Lugol_T4	Lugol_T4	2 Months Washout	APAL_Lugol_T4	APAL_Lugol_T4	Treated	TR	TR	Lugol_Lugol_T4	68
AP16-48-T4-L	48	Lugol	APAL	AP16	NA	APAL Lugol	Lugol	Lugol_T4	Lugol_T4	2 Months Washout	APAL_Lugol_T4	APAL_Lugol_T4	Treated	TR	TR	Lugol_Lugol_T4	68
AP16-49-T4-L	49	Lugol	APAL	AP16	NA	APAL Lugol	Lugol	Lugol_T4	Lugol_T4	2 Months Washout	APAL_Lugol_T4	APAL_Lugol_T4	Treated	TR	TR	Lugol_Lugol_T4	68
AP16-50-T4-L	50	Lugol	APAL	AP16	NA	APAL Lugol	Lugol	Lugol_T4	Lugol_T4	2 Months Washout	APAL_Lugol_T4	APAL_Lugol_T4	Treated	mild	TR	Lugol_Lugol_T4	68
AP16-71-T0-C	71	KMD	APAL	AP16	T0	APAL Control	Control	Control_T0	T0	Pre-Treatment	APAL_T0	APAL_Control_T0	Control	None	None	KMD_Control_T0	0
AP16-72-T0-C	72	KMD	APAL	AP16	T0	APAL Control	Control	Control_T0	T0	Pre-Treatment	APAL_T0	APAL_Control_T0	Control	None	None	KMD_Control_T0	0
AP16-73-T0-C	73	KMD	APAL	AP16	T0	APAL Control	Control	Control_T0	T0	Pre-Treatment	APAL_T0	APAL_Control_T0	Control	None	None	KMD_Control_T0	0
AP16-74-T0-C	74	KMD	APAL	AP16	T0	APAL Control	Control	Control_T0	T0	Pre-Treatment	APAL_T0	APAL_Control_T0	Control	None	None	KMD_Control_T0	0
AP16-75-T0-C	75	KMD	APAL	AP16	T0	APAL Control	Control	Control_T0	T0	Pre-Treatment	APAL_T0	APAL_Control_T0	Control	None	None	KMD_Control_T0	0
AP16-76-T1-C	76	KMD	APAL	AP16	T1	APAL Control	Control	Control_T1	Control_T1	1 Day Post-Treatment	APAL_Control_T1	APAL_Control_T1	Control	None	None	KMD_Control_T1	1
AP16-77-T1-C	77	KMD	APAL	AP16	T1	APAL Control	Control	Control_T1	Control_T1	1 Day Post-Treatment	APAL_Control_T1	APAL_Control_T1	Control	None	None	KMD_Control_T1	1
AP16-78-T1-C	78	KMD	APAL	AP16	T1	APAL Control	Control	Control_T1	Control_T1	1 Day Post-Treatment	APAL_Control_T1	APAL_Control_T1	Control	None	None	KMD_Control_T1	1
AP16-79-T1-C	79	KMD	APAL	AP16	T1	APAL Control	Control	Control_T1	Control_T1	1 Day Post-Treatment	APAL_Control_T1	APAL_Control_T1	Control	None	None	KMD_Control_T1	1
AP16-80-T1-C	80	KMD	APAL	AP16	T1	APAL Control	Control	Control_T1	Control_T1	1 Day Post-Treatment	APAL_Control_T1	APAL_Control_T1	Control	None	None	KMD_Control_T1	1
AP16-81-T2-C	81	KMD	APAL	AP16	T2	APAL Control	Control	Control_T2	Control_T2	After 6 treatments 	APAL_Control_T2	APAL_Control_T2	Control	None	None	KMD_Control_T2	12
AP16-82-T2-C	82	KMD	APAL	AP16	T2	APAL Control	Control	Control_T2	Control_T2	After 6 treatments 	APAL_Control_T2	APAL_Control_T2	Control	None	None	KMD_Control_T2	12
AP16-83-T2-C	83	KMD	APAL	AP16	T2	APAL Control	Control	Control_T2	Control_T2	After 6 treatments 	APAL_Control_T2	APAL_Control_T2	Control	None	None	KMD_Control_T2	12
AP16-84-T2-C	84	KMD	APAL	AP16	T2	APAL Control	Control	Control_T2	Control_T2	After 6 treatments 	APAL_Control_T2	APAL_Control_T2	Control	None	None	KMD_Control_T2	12
AP16-85-T2-C	85	KMD	APAL	AP16	T2	APAL Control	Control	Control_T2	Control_T2	After 6 treatments 	APAL_Control_T2	APAL_Control_T2	Control	None	None	KMD_Control_T2	12
AP16-86-T3-C	86	KMD	APAL	AP16	T3	APAL Control	Control	Control_T3	Control_T3	1 Month Washout	APAL_Control_T3	APAL_Control_T3	Control	None	None	KMD_Control_T3	40
AP16-87-T3-C	87	KMD	APAL	AP16	T3	APAL Control	Control	Control_T3	Control_T3	1 Month Washout	APAL_Control_T3	APAL_Control_T3	Control	None	None	KMD_Control_T3	40
AP16-88-T3-C	88	KMD	APAL	AP16	T3	APAL Control	Control	Control_T3	Control_T3	1 Month Washout	APAL_Control_T3	APAL_Control_T3	Control	None	None	KMD_Control_T3	40
AP16-89-T3-C	89	KMD	APAL	AP16	T3	APAL Control	Control	Control_T3	Control_T3	1 Month Washout	APAL_Control_T3	APAL_Control_T3	Control	None	None	KMD_Control_T3	40
AP16-90-T3-C	90	KMD	APAL	AP16	T3	APAL Control	Control	Control_T3	Control_T3	1 Month Washout	APAL_Control_T3	APAL_Control_T3	Control	None	None	KMD_Control_T3	40
AP16-91-T4-C	91	KMD	APAL	AP16	T4	APAL Control	Control	Control_T4	Control_T4	2 Months Washout	APAL_Control_T4	APAL_Control_T4	Control	None	None	KMD_Control_T4	68
AP16-92-T4-C	92	KMD	APAL	AP16	T4	APAL Control	Control	Control_T4	Control_T4	2 Months Washout	APAL_Control_T4	APAL_Control_T4	Control	None	None	KMD_Control_T4	68
AP16-93-T4-C	93	KMD	APAL	AP16	T4	APAL Control	Control	Control_T4	Control_T4	2 Months Washout	APAL_Control_T4	APAL_Control_T4	Control	None	None	KMD_Control_T4	68
AP16-94-T4-C	94	KMD	APAL	AP16	T4	APAL Control	Control	Control_T4	Control_T4	2 Months Washout	APAL_Control_T4	APAL_Control_T4	Control	None	None	KMD_Control_T4	68
AP16-95-T4-C	95	KMD	APAL	AP16	T4	APAL Control	Control	Control_T4	Control_T4	2 Months Washout	APAL_Control_T4	APAL_Control_T4	Control	None	None	KMD_Control_T4	68
AP16-96-T0-K	96	KMD	APAL	AP16	T0	APAL KoralMD	KoralMD	KoralMD_T0	T0	Pre-Treatment	APAL_T0	APAL_KoralMD_T0	Treated	None	None	KMD_KoralMD_T0	0
AP16-97-T0-K	97	KMD	APAL	AP16	T0	APAL KoralMD	KoralMD	KoralMD_T0	T0	Pre-Treatment	APAL_T0	APAL_KoralMD_T0	Treated	None	None	KMD_KoralMD_T0	0
AP16-98-T0-K	98	KMD	APAL	AP16	T0	APAL KoralMD	KoralMD	KoralMD_T0	T0	Pre-Treatment	APAL_T0	APAL_KoralMD_T0	Treated	None	None	KMD_KoralMD_T0	0
AP16-99-T0-K	99	KMD	APAL	AP16	T0	APAL KoralMD	KoralMD	KoralMD_T0	T0	Pre-Treatment	APAL_T0	APAL_KoralMD_T0	Treated	None	None	KMD_KoralMD_T0	0
AP16-100-T0-K	100	KMD	APAL	AP16	T0	APAL KoralMD	KoralMD	KoralMD_T0	T0	Pre-Treatment	APAL_T0	APAL_KoralMD_T0	Treated	None	None	KMD_KoralMD_T0	0
AP16-101-T1-K	101	KMD	APAL	AP16	T1	APAL KoralMD	KoralMD	KoralMD_T1	KoralMD_T1	1 Day Post-Treatment	APAL_KoralMD_T1	APAL_KoralMD_T1	Treated	None	None	KMD_KoralMD_T1	1
AP16-102-T1-K	102	KMD	APAL	AP16	T1	APAL KoralMD	KoralMD	KoralMD_T1	KoralMD_T1	1 Day Post-Treatment	APAL_KoralMD_T1	APAL_KoralMD_T1	Treated	None	None	KMD_KoralMD_T1	1
AP16-103-T1-K	103	KMD	APAL	AP16	T1	APAL KoralMD	KoralMD	KoralMD_T1	KoralMD_T1	1 Day Post-Treatment	APAL_KoralMD_T1	APAL_KoralMD_T1	Treated	None	None	KMD_KoralMD_T1	1
AP16-104-T1-K	104	KMD	APAL	AP16	T1	APAL KoralMD	KoralMD	KoralMD_T1	KoralMD_T1	1 Day Post-Treatment	APAL_KoralMD_T1	APAL_KoralMD_T1	Treated	None	None	KMD_KoralMD_T1	1
AP16-105-T1-K	105	KMD	APAL	AP16	T1	APAL KoralMD	KoralMD	KoralMD_T1	KoralMD_T1	1 Day Post-Treatment	APAL_KoralMD_T1	APAL_KoralMD_T1	Treated	None	None	KMD_KoralMD_T1	1
AP16-106-T2-K	106	KMD	APAL	AP16	T2	APAL KoralMD	KoralMD	KoralMD_T2	KoralMD_T2	After 6 treatments 	APAL_KoralMD_T2	APAL_KoralMD_T2	Treated	None	None	KMD_KoralMD_T2	12
AP16-107-T2-K	107	KMD	APAL	AP16	T2	APAL KoralMD	KoralMD	KoralMD_T2	KoralMD_T2	After 6 treatments 	APAL_KoralMD_T2	APAL_KoralMD_T2	Treated	None	None	KMD_KoralMD_T2	12
AP16-108-T2-K	108	KMD	APAL	AP16	T2	APAL KoralMD	KoralMD	KoralMD_T2	KoralMD_T2	After 6 treatments 	APAL_KoralMD_T2	APAL_KoralMD_T2	Treated	None	None	KMD_KoralMD_T2	12
AP16-109-T2-K	109	KMD	APAL	AP16	T2	APAL KoralMD	KoralMD	KoralMD_T2	KoralMD_T2	After 6 treatments 	APAL_KoralMD_T2	APAL_KoralMD_T2	Treated	None	None	KMD_KoralMD_T2	12
AP16-110-T2-K	110	KMD	APAL	AP16	T2	APAL KoralMD	KoralMD	KoralMD_T2	KoralMD_T2	After 6 treatments 	APAL_KoralMD_T2	APAL_KoralMD_T2	Treated	None	None	KMD_KoralMD_T2	12
AP16-111-T3-K	111	KMD	APAL	AP16	T3	APAL KoralMD	KoralMD	KoralMD_T3	KoralMD_T3	1 Month Washout	APAL_KoralMD_T3	APAL_KoralMD_T3	Treated	None	None	KMD_KoralMD_T3	40
AP16-112-T3-K	112	KMD	APAL	AP16	T3	APAL KoralMD	KoralMD	KoralMD_T3	KoralMD_T3	1 Month Washout	APAL_KoralMD_T3	APAL_KoralMD_T3	Treated	None	None	KMD_KoralMD_T3	40
AP16-113-T3-K	113	KMD	APAL	AP16	T3	APAL KoralMD	KoralMD	KoralMD_T3	KoralMD_T3	1 Month Washout	APAL_KoralMD_T3	APAL_KoralMD_T3	Treated	None	None	KMD_KoralMD_T3	40
AP16-114-T3-K	114	KMD	APAL	AP16	T3	APAL KoralMD	KoralMD	KoralMD_T3	KoralMD_T3	1 Month Washout	APAL_KoralMD_T3	APAL_KoralMD_T3	Treated	None	None	KMD_KoralMD_T3	40
AP16-115-T3-K	115	KMD	APAL	AP16	T3	APAL KoralMD	KoralMD	KoralMD_T3	KoralMD_T3	1 Month Washout	APAL_KoralMD_T3	APAL_KoralMD_T3	Treated	None	None	KMD_KoralMD_T3	40
AP16-116-T4-K	116	KMD	APAL	AP16	T4	APAL KoralMD	KoralMD	KoralMD_T4	KoralMD_T4	2 Months Washout	APAL_KoralMD_T4	APAL_KoralMD_T4	Treated	None	None	KMD_KoralMD_T4	68
AP16-117-T4-K	117	KMD	APAL	AP16	T4	APAL KoralMD	KoralMD	KoralMD_T4	KoralMD_T4	2 Months Washout	APAL_KoralMD_T4	APAL_KoralMD_T4	Treated	None	None	KMD_KoralMD_T4	68
AP16-118-T4-K	118	KMD	APAL	AP16	T4	APAL KoralMD	KoralMD	KoralMD_T4	KoralMD_T4	2 Months Washout	APAL_KoralMD_T4	APAL_KoralMD_T4	Treated	None	None	KMD_KoralMD_T4	68
AP16-119-T4-K	119	KMD	APAL	AP16	T4	APAL KoralMD	KoralMD	KoralMD_T4	KoralMD_T4	2 Months Washout	APAL_KoralMD_T4	APAL_KoralMD_T4	Treated	None	None	KMD_KoralMD_T4	68
AP16-120-T4-K	120	KMD	APAL	AP16	T4	APAL KoralMD	KoralMD	KoralMD_T4	KoralMD_T4	2 Months Washout	APAL_KoralMD_T4	APAL_KoralMD_T4	Treated	None	None	KMD_KoralMD_T4	68
AP20-1-T0-C	1	Lugol	APAL	AP20	T0	APAL Control	Control	Control_T0	T0	Pre-Treatment	APAL_T0	APAL_Control_T0	Control	None	None	Lugol_Control_T0	0
AP20-2-T0-C	2	Lugol	APAL	AP20	T0	APAL Control	Control	Control_T0	T0	Pre-Treatment	APAL_T0	APAL_Control_T0	Control	None	None	Lugol_Control_T0	0
AP20-3-T0-C	3	Lugol	APAL	AP20	T0	APAL Control	Control	Control_T0	T0	Pre-Treatment	APAL_T0	APAL_Control_T0	Control	None	None	Lugol_Control_T0	0
AP20-4-T0-C	4	Lugol	APAL	AP20	T0	APAL Control	Control	Control_T0	T0	Pre-Treatment	APAL_T0	APAL_Control_T0	Control	None	None	Lugol_Control_T0	0
AP20-5-T0-C	5	Lugol	APAL	AP20	T0	APAL Control	Control	Control_T0	T0	Pre-Treatment	APAL_T0	APAL_Control_T0	Control	None	None	Lugol_Control_T0	0
AP20-6-T1-C	6	Lugol	APAL	AP20	T1	APAL Control	Control	Control_T1	Control_T1	1 Day Post-Treatment	APAL_Control_T1	APAL_Control_T1	Control	None	None	Lugol_Control_T1	1
AP20-7-T1-C	7	Lugol	APAL	AP20	T1	APAL Control	Control	Control_T1	Control_T1	1 Day Post-Treatment	APAL_Control_T1	APAL_Control_T1	Control	None	None	Lugol_Control_T1	1
AP20-8-T1-C	8	Lugol	APAL	AP20	T1	APAL Control	Control	Control_T1	Control_T1	1 Day Post-Treatment	APAL_Control_T1	APAL_Control_T1	Control	None	None	Lugol_Control_T1	1
AP20-9-T1-C	9	Lugol	APAL	AP20	T1	APAL Control	Control	Control_T1	Control_T1	1 Day Post-Treatment	APAL_Control_T1	APAL_Control_T1	Control	None	None	Lugol_Control_T1	1
AP20-10-T1-C	10	Lugol	APAL	AP20	T1	APAL Control	Control	Control_T1	Control_T1	1 Day Post-Treatment	APAL_Control_T1	APAL_Control_T1	Control	None	None	Lugol_Control_T1	1
AP20-11-T2-C	11	Lugol	APAL	AP20	T2	APAL Control	Control	Control_T2	Control_T2	After 6 treatments 	APAL_Control_T2	APAL_Control_T2	Control	None	None	Lugol_Control_T2	12
AP20-12-T2-C	12	Lugol	APAL	AP20	T2	APAL Control	Control	Control_T2	Control_T2	After 6 treatments 	APAL_Control_T2	APAL_Control_T2	Control	None	None	Lugol_Control_T2	12
AP20-13-T2-C	13	Lugol	APAL	AP20	T2	APAL Control	Control	Control_T2	Control_T2	After 6 treatments 	APAL_Control_T2	APAL_Control_T2	Control	None	None	Lugol_Control_T2	12
AP20-14-T2-C	14	Lugol	APAL	AP20	T2	APAL Control	Control	Control_T2	Control_T2	After 6 treatments 	APAL_Control_T2	APAL_Control_T2	Control	None	None	Lugol_Control_T2	12
AP20-15-T2-C	15	Lugol	APAL	AP20	T2	APAL Control	Control	Control_T2	Control_T2	After 6 treatments 	APAL_Control_T2	APAL_Control_T2	Control	None	None	Lugol_Control_T2	12
AP20-16-T3-C	16	Lugol	APAL	AP20	T3	APAL Control	Control	Control_T3	Control_T3	1 Month Washout	APAL_Control_T3	APAL_Control_T3	Control	None	None	Lugol_Control_T3	40
AP20-17-T3-C	17	Lugol	APAL	AP20	T3	APAL Control	Control	Control_T3	Control_T3	1 Month Washout	APAL_Control_T3	APAL_Control_T3	Control	None	None	Lugol_Control_T3	40
AP20-18-T3-C	18	Lugol	APAL	AP20	T3	APAL Control	Control	Control_T3	Control_T3	1 Month Washout	APAL_Control_T3	APAL_Control_T3	Control	None	None	Lugol_Control_T3	40
AP20-19-T3-C	19	Lugol	APAL	AP20	T3	APAL Control	Control	Control_T3	Control_T3	1 Month Washout	APAL_Control_T3	APAL_Control_T3	Control	None	None	Lugol_Control_T3	40
AP20-20-T3-C	20	Lugol	APAL	AP20	T3	APAL Control	Control	Control_T3	Control_T3	1 Month Washout	APAL_Control_T3	APAL_Control_T3	Control	None	None	Lugol_Control_T3	40
AP20-21-T4-C	21	Lugol	APAL	AP20	T4	APAL Control	Control	Control_T4	Control_T4	2 Months Washout	APAL_Control_T4	APAL_Control_T4	Control	mild	TR	Lugol_Control_T4	68
AP20-22-T4-C	22	Lugol	APAL	AP20	T4	APAL Control	Control	Control_T4	Control_T4	2 Months Washout	APAL_Control_T4	APAL_Control_T4	Control	None	None	Lugol_Control_T4	68
AP20-23-T4-C	23	Lugol	APAL	AP20	T4	APAL Control	Control	Control_T4	Control_T4	2 Months Washout	APAL_Control_T4	APAL_Control_T4	Control	None	None	Lugol_Control_T4	68
AP20-24-T4-C	24	Lugol	APAL	AP20	T4	APAL Control	Control	Control_T4	Control_T4	2 Months Washout	APAL_Control_T4	APAL_Control_T4	Control	mild	TR	Lugol_Control_T4	68
AP20-25-T4-C	25	Lugol	APAL	AP20	T4	APAL Control	Control	Control_T4	Control_T4	2 Months Washout	APAL_Control_T4	APAL_Control_T4	Control	None	None	Lugol_Control_T4	68
AP20-26-T0-L	26	Lugol	APAL	AP20	T0	APAL Lugol	Lugol	Lugol_T0	T0	Pre-Treatment	APAL_T0	APAL_Lugol_T0	Treated	None	None	Lugol_Lugol_T0	0
AP20-27-T0-L	27	Lugol	APAL	AP20	T0	APAL Lugol	Lugol	Lugol_T0	T0	Pre-Treatment	APAL_T0	APAL_Lugol_T0	Treated	None	None	Lugol_Lugol_T0	0
AP20-28-T0-L	28	Lugol	APAL	AP20	T0	APAL Lugol	Lugol	Lugol_T0	T0	Pre-Treatment	APAL_T0	APAL_Lugol_T0	Treated	None	None	Lugol_Lugol_T0	0
AP20-29-T0-L	29	Lugol	APAL	AP20	T0	APAL Lugol	Lugol	Lugol_T0	T0	Pre-Treatment	APAL_T0	APAL_Lugol_T0	Treated	None	None	Lugol_Lugol_T0	0
AP20-30-T0-L	30	Lugol	APAL	AP20	T0	APAL Lugol	Lugol	Lugol_T0	T0	Pre-Treatment	APAL_T0	APAL_Lugol_T0	Treated	None	None	Lugol_Lugol_T0	0
AP20-31-T1-L	31	Lugol	APAL	AP20	T1	APAL Lugol	Lugol	Lugol_T1	Lugol_T1	1 Day Post-Treatment	APAL_Lugol_T1	APAL_Lugol_T1	Treated	None	None	Lugol_Lugol_T1	1
AP20-32-T1-L	32	Lugol	APAL	AP20	T1	APAL Lugol	Lugol	Lugol_T1	Lugol_T1	1 Day Post-Treatment	APAL_Lugol_T1	APAL_Lugol_T1	Treated	None	None	Lugol_Lugol_T1	1
